"iteration","time","best-fitness","average-fitness","best-genome"
"0","0.0","66540.03125","inf","[0, 15, 2, 11, 33, 7, 25, 14, 31, 22, 17, 41, 6, 45, 16, 1, 36, 43, 39, 23, 18, 12, 47, 34, 24, 3, 9, 10, 28, 35, 42, 13, 32, 5, 48, 46, 40, 49, 21, 30, 20, 44, 37, 38, 29, 19, 27, 8, 26, 4]"
"1","0.02335071563720703","64437.60546875","67492.60898966393","[0, 15, 2, 11, 7, 33, 25, 14, 31, 22, 12, 18, 23, 39, 1, 36, 43, 16, 45, 6, 41, 17, 34, 47, 9, 3, 24, 10, 28, 35, 42, 13, 32, 5, 48, 46, 40, 49, 21, 30, 20, 44, 37, 38, 29, 19, 27, 8, 26, 4]"
"2","0.7019121646881104","63211.984375","65351.78014688104","[0, 15, 2, 11, 7, 33, 25, 14, 31, 22, 12, 18, 23, 39, 1, 36, 43, 16, 45, 6, 41, 17, 34, 47, 9, 3, 24, 10, 13, 32, 28, 35, 42, 5, 48, 49, 40, 46, 21, 30, 20, 44, 37, 38, 29, 19, 27, 8, 26, 4]"
"3","1.371720552444458","62207.359375","64170.881981382976","[0, 4, 2, 11, 33, 26, 25, 14, 31, 22, 17, 41, 43, 6, 45, 16, 1, 36, 39, 23, 18, 34, 47, 12, 9, 3, 24, 10, 13, 32, 28, 35, 42, 5, 48, 49, 40, 46, 21, 30, 20, 44, 37, 38, 29, 8, 27, 19, 7, 15]"
"4","2.044797420501709","60875.77734375","62896.551975036266","[0, 4, 2, 11, 33, 26, 25, 14, 31, 22, 12, 18, 23, 39, 1, 36, 43, 16, 45, 6, 41, 17, 34, 47, 9, 3, 24, 10, 28, 35, 42, 13, 32, 5, 48, 49, 40, 46, 20, 21, 30, 37, 44, 38, 29, 8, 27, 19, 7, 15]"
"5","2.7274601459503174","60230.07421875","61559.72106957205","[0, 4, 2, 11, 33, 26, 25, 14, 31, 22, 12, 18, 23, 39, 1, 36, 43, 16, 45, 6, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 48, 49, 40, 46, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 15]"
"6","3.4112143516540527","60230.06640625","60954.98627901354","[0, 4, 2, 11, 33, 26, 25, 14, 31, 22, 12, 18, 23, 39, 1, 36, 43, 16, 45, 6, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 48, 49, 40, 46, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 15]"
"7","4.07524561882019","60002.50390625","61069.90952157882","[0, 26, 25, 14, 31, 22, 12, 18, 23, 39, 1, 36, 43, 16, 45, 6, 41, 17, 34, 47, 9, 3, 24, 10, 13, 32, 42, 35, 28, 5, 48, 49, 40, 46, 21, 30, 20, 44, 37, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 4]"
"8","4.737698793411255","58751.40625","62201.203079666346","[0, 25, 14, 31, 22, 12, 18, 23, 39, 1, 36, 43, 16, 45, 6, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 48, 49, 40, 46, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"9","5.389286518096924","58147.46875","60757.847104690525","[0, 26, 25, 14, 31, 22, 12, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 48, 49, 40, 46, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 4]"
"10","6.050678014755249","58013.09765625","59894.27155615329","[0, 25, 14, 31, 22, 12, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 48, 49, 40, 46, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"11","6.720257043838501","58013.09765625","59275.23139808994","[0, 25, 14, 31, 22, 12, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 48, 49, 40, 46, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"12","7.36184287071228","58013.08984375","59168.30619106625","[0, 25, 14, 31, 22, 12, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 48, 49, 40, 46, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"13","8.014197587966919","57821.12109375","59153.20994015958","[0, 26, 25, 14, 31, 22, 12, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 4]"
"14","8.68183422088623","57686.75","59227.57002538685","[0, 25, 14, 31, 22, 12, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"15","9.339594841003418","57686.75390625","59167.816156914894","[0, 25, 14, 31, 22, 12, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"16","9.993544816970825","57686.75","59149.007056939074","[0, 25, 14, 31, 22, 12, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"17","10.663608074188232","57686.75","59125.5227046059","[0, 25, 14, 31, 22, 12, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"18","11.341744422912598","57686.75","59157.85864966151","[0, 25, 14, 31, 22, 12, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"19","12.021990537643433","57686.74609375","59102.20828548114","[0, 25, 14, 31, 22, 12, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"20","12.685980319976807","57686.74609375","59174.08917885638","[0, 25, 14, 31, 22, 12, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"21","13.343992710113525","57686.7421875","59149.00333957931","[0, 25, 14, 31, 22, 12, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"22","14.020190954208374","57686.7421875","59270.33853662959","[0, 25, 14, 31, 22, 12, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"23","14.664649963378906","57686.7421875","59245.07634187621","[0, 25, 14, 31, 22, 12, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 34, 47, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"24","15.31600022315979","57368.6328125","59330.70094898453","[0, 25, 14, 31, 22, 12, 47, 34, 41, 17, 43, 6, 45, 16, 1, 36, 39, 23, 18, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"25","15.973848342895508","57368.62890625","59938.571075616535","[0, 25, 14, 31, 22, 12, 47, 34, 41, 17, 43, 6, 45, 16, 1, 36, 39, 23, 18, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"26","16.648844480514526","57368.625","59209.494257736944","[0, 25, 14, 31, 22, 12, 47, 34, 41, 17, 43, 6, 45, 16, 1, 36, 39, 23, 18, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"27","17.32401466369629","57368.62109375","59050.08608105658","[0, 25, 14, 31, 22, 12, 47, 34, 41, 17, 43, 6, 45, 16, 1, 36, 39, 23, 18, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"28","18.000176429748535","57368.62109375","59278.610364784814","[0, 25, 14, 31, 22, 12, 47, 34, 41, 17, 43, 6, 45, 16, 1, 36, 39, 23, 18, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"29","18.67251229286194","57368.62109375","59324.221832688585","[0, 25, 14, 31, 22, 12, 47, 34, 41, 17, 43, 6, 45, 16, 1, 36, 39, 23, 18, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"30","19.33016037940979","57368.62109375","59427.089450858315","[0, 25, 14, 31, 22, 12, 47, 34, 41, 17, 43, 6, 45, 16, 1, 36, 39, 23, 18, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"31","19.99789810180664","57368.62109375","59455.57854055851","[0, 25, 14, 31, 22, 12, 47, 34, 41, 17, 43, 6, 45, 16, 1, 36, 39, 23, 18, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"32","20.679253578186035","57368.61328125","59382.54471409575","[0, 25, 14, 31, 22, 12, 47, 34, 41, 17, 43, 6, 45, 16, 1, 36, 39, 23, 18, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"33","21.337477684020996","57368.61328125","59398.52011303192","[0, 25, 14, 31, 22, 12, 47, 34, 41, 17, 43, 6, 45, 16, 1, 36, 39, 23, 18, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
"34","21.98305106163025","57368.61328125","59664.53319934719","[0, 25, 14, 31, 22, 12, 47, 34, 41, 17, 43, 6, 45, 16, 1, 36, 39, 23, 18, 9, 3, 24, 10, 32, 13, 42, 35, 28, 5, 49, 40, 46, 48, 20, 21, 30, 37, 44, 38, 29, 8, 19, 27, 7, 33, 11, 2, 15, 26, 4]"
