"iteration","time","best-fitness","average-fitness","best-genome"
"0","0.0","66424.5625","inf","[0, 15, 2, 11, 33, 7, 25, 14, 31, 22, 12, 47, 34, 24, 3, 9, 18, 23, 39, 1, 36, 43, 16, 45, 6, 41, 17, 35, 28, 42, 13, 32, 10, 5, 48, 46, 40, 49, 21, 30, 20, 44, 37, 38, 29, 19, 27, 8, 26, 4]"
"1","0.029071807861328125","62268.69140625","67696.6558419971","[0, 15, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 48, 46, 40, 49, 5, 42, 35, 28, 13, 32, 10, 24, 3, 12, 47, 34, 9, 17, 41, 18, 23, 39, 1, 36, 43, 6, 45, 16, 8, 26, 4]"
"2","0.681255578994751","60909.07421875","65134.160760698745","[0, 4, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 48, 46, 40, 49, 5, 42, 35, 28, 13, 32, 10, 41, 17, 34, 47, 12, 9, 3, 24, 18, 23, 39, 1, 36, 43, 6, 45, 16, 8, 26, 15]"
"3","1.3173530101776123","60464.62890625","62146.56367867505","[0, 4, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 48, 46, 49, 5, 42, 35, 10, 24, 3, 12, 47, 34, 9, 18, 23, 39, 1, 36, 43, 16, 45, 6, 41, 17, 28, 13, 32, 40, 8, 26, 15]"
"4","1.9586102962493896","59294.01953125","60773.27862064797","[0, 4, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 48, 46, 49, 5, 42, 35, 10, 24, 3, 9, 12, 47, 34, 18, 23, 39, 1, 36, 6, 16, 45, 43, 41, 17, 28, 13, 32, 40, 8, 26, 15]"
"5","2.6061911582946777","59132.32421875","60045.25114845261","[0, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 48, 46, 49, 5, 42, 35, 10, 3, 24, 9, 12, 47, 34, 18, 23, 39, 1, 36, 6, 16, 45, 43, 41, 17, 28, 13, 32, 40, 8, 26, 15, 4]"
"6","3.249561071395874","58475.4296875","60130.746849310926","[0, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 40, 46, 49, 5, 42, 35, 10, 24, 3, 9, 12, 47, 34, 18, 23, 39, 1, 36, 6, 16, 45, 43, 41, 17, 32, 13, 28, 48, 8, 26, 15, 4]"
"7","3.895005464553833","57607.19140625","59818.855007857834","[0, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 46, 48, 5, 42, 35, 10, 24, 3, 9, 12, 47, 34, 18, 23, 39, 1, 36, 6, 16, 45, 43, 41, 17, 32, 13, 28, 49, 40, 8, 26, 15, 4]"
"8","4.53016209602356","57543.45703125","59367.68295907882","[0, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 46, 48, 5, 42, 35, 10, 3, 24, 9, 12, 47, 34, 18, 23, 39, 1, 36, 6, 16, 45, 43, 41, 17, 32, 13, 28, 49, 40, 8, 26, 15, 4]"
"9","5.164355516433716","57337.90234375","59175.32588853965","[0, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 46, 48, 5, 42, 35, 10, 3, 24, 9, 12, 47, 34, 18, 23, 39, 1, 16, 45, 6, 36, 43, 41, 17, 32, 13, 28, 49, 40, 8, 26, 15, 4]"
"10","5.821122884750366","57337.90234375","58995.88374183994","[0, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 46, 48, 5, 42, 35, 10, 3, 24, 9, 12, 47, 34, 18, 23, 39, 1, 16, 45, 6, 36, 43, 41, 17, 32, 13, 28, 49, 40, 8, 26, 15, 4]"
"11","6.488760709762573","57337.89453125","59015.993728844296","[0, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 46, 48, 5, 42, 35, 10, 3, 24, 9, 12, 47, 34, 18, 23, 39, 1, 16, 45, 6, 36, 43, 41, 17, 32, 13, 28, 49, 40, 8, 26, 15, 4]"
"12","7.130579710006714","57256.703125","59175.75843961557","[0, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 46, 48, 5, 42, 13, 32, 10, 3, 24, 9, 12, 47, 34, 18, 23, 39, 1, 16, 45, 6, 36, 43, 41, 17, 35, 28, 49, 40, 8, 26, 15, 4]"
"13","7.7808215618133545","57240.23046875","59582.39982773211","[0, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 46, 48, 5, 42, 35, 10, 3, 24, 9, 12, 47, 34, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 32, 13, 28, 49, 40, 8, 26, 15, 4]"
"14","8.447741746902466","57219.46875","58630.25633915619","[0, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 46, 48, 5, 42, 35, 28, 13, 32, 3, 24, 9, 12, 47, 34, 18, 23, 39, 1, 16, 45, 6, 36, 43, 41, 17, 10, 49, 40, 8, 26, 15, 4]"
"15","9.101124286651611","57159.02734375","58179.773467722436","[0, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 46, 48, 5, 42, 13, 32, 10, 3, 24, 9, 12, 47, 34, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 35, 28, 49, 40, 8, 26, 15, 4]"
"16","9.755972623825073","57121.796875","57766.69241114603","[0, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 46, 48, 5, 42, 35, 28, 13, 32, 3, 24, 9, 12, 47, 34, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 10, 49, 40, 8, 26, 15, 4]"
"17","10.405417203903198","57104.06640625","57829.714518858804","[0, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 46, 48, 5, 42, 35, 28, 13, 32, 3, 9, 12, 47, 34, 18, 23, 39, 1, 16, 45, 6, 36, 43, 41, 17, 24, 10, 49, 40, 8, 26, 15, 4]"
"18","11.062057495117188","57006.39453125","57702.51303342602","[0, 25, 14, 31, 22, 2, 11, 33, 7, 27, 19, 29, 38, 37, 44, 30, 21, 20, 46, 48, 5, 42, 35, 28, 13, 32, 3, 9, 12, 47, 34, 18, 23, 39, 43, 6, 45, 16, 1, 36, 41, 17, 24, 10, 49, 40, 8, 26, 15, 4]"
